stress: info: [3244938] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244914] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244841] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244840] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244906] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244869] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244882] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244887] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244905] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244894] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244955] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244879] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244852] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244939] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244931] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244896] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244928] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244924] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244878] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244958] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244883] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244862] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244948] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244929] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244962] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244912] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244854] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244844] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244932] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244886] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244950] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244925] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244933] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
